Plan name:,AUTOMATION ANYWHERE ,,,
Date Range,08/01/2019 - 03/16/2023,,,
,,,,
,,,,
Date,Investment,Transaction Type,Amount,Shares/Unit
2/26/2021,FID FREEDOM INCOME,Contributions,173.33,14.196
2/26/2021,FID FREEDOM 2035,Contributions,173.34,10.173
2/26/2021,FID 500 INDEX,Contributions,173.33,1.309
2/12/2021,MM BLUE CHIP GR I,Contributions,173.34,5.472
2/12/2021,J H ENTERPRISE IS,Contributions,173.33,1.744
2/12/2021,FID FREEDOM INCOME,Contributions,173.33,14.001
2/12/2021,FID FREEDOM 2035,Contributions,173.34,9.849
2/12/2021,FID 500 INDEX,Contributions,173.33,1.269
2/5/2021,FID FREEDOM INCOME,Dividend,1.31,0.106
1/29/2021,MM BLUE CHIP GR I,Contributions,173.34,5.88
1/29/2021,J H ENTERPRISE IS,Contributions,173.33,1.894
1/29/2021,FID FREEDOM INCOME,Contributions,173.33,14.196
1/29/2021,FID FREEDOM 2035,Contributions,173.34,10.455
1/29/2021,FID 500 INDEX,Contributions,173.33,1.345
1/19/2021,MM BLUE CHIP GR I,Contributions,173.34,5.797
1/19/2021,J H ENTERPRISE IS,Contributions,173.33,1.796
1/19/2021,FID FREEDOM INCOME,Contributions,173.33,14.092
1/19/2021,FID FREEDOM 2035,Contributions,173.34,10.131
1/19/2021,FID 500 INDEX,Contributions,173.33,1.316
12/31/2020,MM BLUE CHIP GR I,Contributions,173.34,5.772
12/31/2020,J H ENTERPRISE IS,Contributions,173.33,1.84
12/31/2020,FID FREEDOM INCOME,Contributions,173.33,14.196
12/31/2020,FID FREEDOM 2035,Contributions,173.34,10.461
12/31/2020,FID 500 INDEX,Contributions,173.33,1.332
12/30/2020,FID FREEDOM INCOME,Dividend,113.9,9.336
12/30/2020,FID FREEDOM 2035,Dividend,273.3,16.494
12/16/2020,MM BLUE CHIP GR I,Contributions,173.34,5.823
12/16/2020,J H ENTERPRISE IS,Contributions,173.33,1.875
12/16/2020,FID FREEDOM INCOME,Contributions,173.33,13.956
12/16/2020,FID FREEDOM 2035,Contributions,173.34,10.245
12/16/2020,FID 500 INDEX,Contributions,173.33,1.352
12/14/2020,MM BLUE CHIP GR I,Dividend,236.59,8.069
12/11/2020,FID 500 INDEX,Dividend,23.44,0.185
12/1/2020,MM BLUE CHIP GR I,Contributions,173.34,5.608
12/1/2020,J H ENTERPRISE IS,Contributions,173.33,1.919
12/1/2020,FID FREEDOM INCOME,Contributions,173.33,14.069
12/1/2020,FID FREEDOM 2035,Contributions,173.34,10.467
12/1/2020,FID 500 INDEX,Contributions,173.33,1.361
11/16/2020,MM BLUE CHIP GR I,Contributions,173.34,5.704
11/16/2020,J H ENTERPRISE IS,Contributions,173.33,1.961
11/16/2020,FID FREEDOM INCOME,Contributions,173.33,14.184
11/16/2020,FID FREEDOM 2035,Contributions,173.34,10.68
11/16/2020,FID 500 INDEX,Contributions,173.33,1.376
11/6/2020,FID FREEDOM INCOME,Dividend,2.75,0.226
10/30/2020,MM BLUE CHIP GR I,Contributions,173.34,6.134
10/30/2020,J H ENTERPRISE IS,Contributions,173.33,2.209
10/30/2020,FID FREEDOM INCOME,Contributions,173.33,14.541
10/30/2020,FID FREEDOM 2035,Contributions,173.34,11.736
10/30/2020,FID 500 INDEX,Contributions,173.33,1.527
10/16/2020,MM BLUE CHIP GR I,Contributions,173.34,5.757
10/16/2020,J H ENTERPRISE IS,Contributions,173.33,2.089
10/16/2020,FID FREEDOM INCOME,Contributions,173.33,14.36
10/16/2020,FID FREEDOM 2035,Contributions,173.34,11.219
10/16/2020,FID 500 INDEX,Contributions,173.33,1.434
10/2/2020,FID FREEDOM INCOME,Dividend,2.83,0.237
10/2/2020,FID 500 INDEX,Dividend,15.58,0.134
9/30/2020,MM BLUE CHIP GR I,Contributions,173.34,5.981
9/30/2020,J H ENTERPRISE IS,Contributions,173.33,2.205
9/30/2020,FID FREEDOM INCOME,Contributions,173.33,14.468
9/30/2020,FID FREEDOM 2035,Contributions,173.34,11.564
9/30/2020,FID 500 INDEX,Contributions,173.33,1.481
9/16/2020,MM BLUE CHIP GR I,Contributions,173.34,6.04
9/16/2020,J H ENTERPRISE IS,Contributions,173.33,2.187
9/16/2020,FID FREEDOM INCOME,Contributions,173.33,14.384
9/16/2020,FID FREEDOM 2035,Contributions,173.34,11.389
9/16/2020,FID 500 INDEX,Contributions,173.33,1.471
9/4/2020,FID FREEDOM INCOME,Dividend,1.99,0.166
8/31/2020,MM BLUE CHIP GR I,Contributions,173.34,5.713
8/31/2020,J H ENTERPRISE IS,Contributions,173.33,2.149
8/31/2020,FID FREEDOM INCOME,Contributions,173.33,14.372
8/31/2020,FID FREEDOM 2035,Contributions,173.34,11.329
8/31/2020,FID 500 INDEX,Contributions,173.33,1.424
8/17/2020,MM BLUE CHIP GR I,Contributions,160,5.638
8/17/2020,J H ENTERPRISE IS,Contributions,160,1.995
8/17/2020,FID FREEDOM INCOME,Contributions,160,13.333
8/17/2020,FID FREEDOM 2035,Contributions,160,10.61
8/17/2020,FID 500 INDEX,Contributions,160.01,1.362
8/7/2020,FID FREEDOM INCOME,Dividend,2.32,0.194
7/31/2020,MM BLUE CHIP GR I,Contributions,160,5.78
7/31/2020,J H ENTERPRISE IS,Contributions,160,2.066
7/31/2020,FID FREEDOM INCOME,Contributions,160,13.4
7/31/2020,FID FREEDOM 2035,Contributions,160,10.966
7/31/2020,FID 500 INDEX,Contributions,160.01,1.409
7/15/2020,MM BLUE CHIP GR I,Contributions,160,5.872
7/15/2020,J H ENTERPRISE IS,Contributions,160,2.101
7/15/2020,FID FREEDOM INCOME,Contributions,160,13.514
7/15/2020,FID FREEDOM 2035,Contributions,160,11.027
7/15/2020,FID 500 INDEX,Contributions,160.01,1.43
7/10/2020,FID FREEDOM INCOME,Dividend,2.54,0.215
7/10/2020,FID 500 INDEX,Dividend,12.69,0.115
7/1/2020,MM BLUE CHIP GR I,Contributions,160,6.074
7/1/2020,J H ENTERPRISE IS,Contributions,160,2.181
7/1/2020,FID FREEDOM INCOME,Contributions,160,13.687
7/1/2020,FID FREEDOM 2035,Contributions,160,11.429
7/1/2020,FID 500 INDEX,Contributions,160.01,1.475
6/17/2020,MM BLUE CHIP GR I,Contributions,160,6.194
6/17/2020,J H ENTERPRISE IS,Contributions,160,2.143
6/17/2020,FID FREEDOM INCOME,Contributions,160,13.734
6/17/2020,FID FREEDOM 2035,Contributions,160,11.453
6/17/2020,FID 500 INDEX,Contributions,160.01,1.477
6/11/2020,J H ENTERPRISE IS,Dividend,180.73,2.533
6/5/2020,FID FREEDOM INCOME,Dividend,1.62,0.139
6/2/2020,MM BLUE CHIP GR I,Contributions,160,6.319
6/2/2020,J H ENTERPRISE IS,Contributions,160,1.987
6/2/2020,FID FREEDOM INCOME,Contributions,160,13.829
6/2/2020,FID FREEDOM 2035,Contributions,160,11.594
6/2/2020,FID 500 INDEX,Contributions,160.01,1.494
5/19/2020,MM BLUE CHIP GR I,Contributions,160,6.59
5/19/2020,J H ENTERPRISE IS,Contributions,160,2.121
5/19/2020,FID FREEDOM INCOME,Contributions,160,14.072
5/19/2020,FID FREEDOM 2035,Contributions,160,12.289
5/19/2020,FID 500 INDEX,Contributions,160.01,1.576
5/8/2020,MM BLUE CHIP GR I,Contributions,160,6.697
5/8/2020,J H ENTERPRISE IS,Contributions,160,2.108
5/8/2020,FID FREEDOM INCOME,Dividend,23.2,2.048
5/8/2020,FID FREEDOM INCOME,Contributions,160,14.122
5/8/2020,FID FREEDOM 2035,Dividend,108.8,8.363
5/8/2020,FID FREEDOM 2035,Contributions,160,12.298
5/8/2020,FID 500 INDEX,Contributions,160.01,1.573
5/1/2020,FID FREEDOM INCOME,Dividend,1.74,0.152
4/15/2020,MM BLUE CHIP GR I,Contributions,160,7.188
4/15/2020,J H ENTERPRISE IS,Contributions,160,2.328
4/15/2020,FID FREEDOM INCOME,Contributions,160,14.06
4/15/2020,FID FREEDOM 2035,Contributions,160,12.589
4/15/2020,FID 500 INDEX,Contributions,160.01,1.658
4/8/2020,FID 500 INDEX,Dividend,8.75,0.092
4/3/2020,FID FREEDOM INCOME,Dividend,1.59,0.144
4/1/2020,MM BLUE CHIP GR I,Contributions,133.34,6.741
4/1/2020,J H ENTERPRISE IS,Contributions,133.33,2.166
4/1/2020,FID FREEDOM INCOME,Contributions,133.33,12.044
4/1/2020,FID FREEDOM 2035,Contributions,133.34,11.319
